Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
Defending Against Data Poisoning Attack in Federated Learning With Non-IID Data,"FL data augmentation (FLDA) effectively reduces data poisoning success rate and improves global model training accuracy in federated learning with non-IID data, increasing accuracy by over 12% after detecting malicious clients.","Chunyong Yin, Qingkui Zeng",2024,34,"Federated learning (FL) is an emerging paradigm that allows participants to collaboratively train deep learning tasks while protecting the privacy of their local data. However, the absence of central server control in distributed environments exposes a vulnerability to data poisoning attacks, where adversaries manipulate the behavior of compromised clients by poisoning local data. In particular, data poisoning attacks against FL can have a drastic impact when the participant’s local data is non-independent and identically distributed (non-IID). Most existing defense strategies have demonstrated promising results in mitigating FL poisoning attacks, however, fail to maintain their effectiveness with non-IID data. In this work, we propose an effective defense framework, FL data augmentation (FLDA), which defends against data poisoning attacks through local data mixup on the clients. In addition, to mitigate the non-IID effect by exploiting the limited local data, we propose a gradient detection strategy to reduce the proportion of malicious clients and raise benign clients. Experimental results on datasets show that FLDA can effectively reduce the poisoning success rate and improve the global model training accuracy under poisoning attacks for non-IID data. Furthermore, FLDA can increase the FL accuracy by more than 12% after detecting malicious clients.","theoretical, modeling, or simulation study",IEEE Transactions on Computational Social Systems,1,10.1109/tcss.2023.3296885,https://consensus.app/papers/defending-against-data-poisoning-attack-in-federated-yin-zeng/90b14c13778b55ceaed24e4cc36cc91a/
DeMAC: Towards detecting model poisoning attacks in federated learning system,"DeMAC effectively detects and defends against model poisoning attacks in federated learning systems by measuring GradScores of malicious and benign clients, reducing attack success rates and eliminating model poisoning attacks in heterogeneous environments.","Han Yang, Dongbing Gu, Jianhua He",2023,8,,"theoretical, modeling, or simulation study",Internet Things,1,10.1016/j.iot.2023.100875,https://consensus.app/papers/demac-towards-detecting-model-poisoning-attacks-in-yang-gu/09a7847716045bdd98701bffaf0af6cd/
Shielding Collaborative Learning: Mitigating Poisoning Attacks Through Client-Side Detection,"Our novel defense scheme, based on client-side cross-validation and differential privacy, effectively detects anomalous updates in collaborative learning, protecting client-level privacy and performance.","Lingchen Zhao, Shengshan Hu, Jianlin Jiang, Chao Shen, Xiangyang Luo, Pengfei Hu",2019,117,"Collaborative learning allows multiple clients to train a joint model without sharing their data with each other. Each client performs training locally and then submits the model updates to a central server for aggregation. Since the server has no visibility into the process of generating the updates, collaborative learning is vulnerable to poisoning attacks where a malicious client can generate a poisoned update to introduce backdoor functionality to the joint model. The existing solutions for detecting poisoned updates, however, fail to defend against the recently proposed attacks, especially in the non-IID (independent and identically distributed) setting. In this article, we present a novel defense scheme to detect anomalous updates in both IID and non-IID settings. Our key idea is to realize client-side cross-validation, where each update is evaluated over other clients’ local data. The server will adjust the weights of the updates based on the evaluation results when performing aggregation. To adapt to the unbalanced distribution of data in the non-IID setting, a dynamic client allocation mechanism is designed to assign detection tasks to the most suitable clients. During the detection process, we also protect the client-level privacy to prevent malicious clients from knowing the participations of other clients, by integrating differential privacy with our design without degrading the detection performance. Our experimental evaluations on three real-world datasets show that our scheme is significantly robust to two representative poisoning attacks.","theoretical, modeling, or simulation study",IEEE Transactions on Dependable and Secure Computing,1,10.1109/tdsc.2020.2986205,https://consensus.app/papers/shielding-collaborative-learning-mitigating-poisoning-zhao-hu/956365c3721a529997a94408a3c68dee/
SecureFed: A Two-Phase Framework for Detecting Malicious Clients in Federated Learning,SecureFed effectively detects and reduces the impact of malicious clients in Federated Learning models without compromising model performance.,"Likhitha Annapurna Kavuri, Akshay Mhatre, Akarsh K. Nair, Deepti Gupta",2025,5,"Federated Learning (FL) protects data privacy while providing a decentralized method for training models. However, because of the distributed schema, it is susceptible to adversarial clients that could alter results or sabotage model performance. This study presents SecureFed, a two-phase FL framework for identifying and reducing the impact of such attackers. Phase 1 involves collecting model updates from participating clients and applying a dimensionality reduction approach to identify outlier patterns frequently associated with malicious behavior. Temporary models constructed from the client updates are evaluated on synthetic datasets to compute validation losses and support anomaly scoring. The idea of learning zones is presented in Phase 2, where weights are dynamically routed according to their contribution scores and gradient magnitudes. High-value gradient zones are given greater weight in aggregation and contribute more significantly to the global model, while lower-value gradient zones, which may indicate possible adversarial activity, are gradually removed from training. Until the model converges and a strong defense against poisoning attacks is possible, this training cycle continues Based on the experimental findings, SecureFed considerably improves model resilience without compromising model performance.",,2025 IEEE International Conference on Information Reuse and Integration and Data Science (IRI),,10.1109/iri66576.2025.00043,https://consensus.app/papers/securefed-a-twophase-framework-for-detecting-malicious-kavuri-mhatre/910125e3c2b75cabb8c98a936dc015b3/
ClieND: Client-Side Neuron-Level Detection against Poisoning Attacks on Cross-Silo Federated Learning,"ClieND, a novel client-side detection framework, effectively detects poisoning attacks in federated learning with high detection accuracy and early detection within 5 communication rounds.","Mengyao Ma, Shuofeng Liu, V. Vo, Minghong Fang, Surya Nepal, Guangdong Bai",2026,1,"Poisoning attacks have been shown to pose significant threats to federated learning (FL), including both untargeted and targeted attacks. To mitigate such threats, the majority of existing defenses are implemented on the server side during the aggregation process. However, as data remains inherently local in FL, these defenses either rely on unreliable statistical or structural properties of local updates, or make strong assumptions that rely on dataset information. As a result, the unique advantage of clients having access to trusted local data and training dynamics has been largely overlooked. In this work, we propose ClieND1, a novel client-side detection framework that shifts the detection of poisoning attacks from the server to the client. Specifically, ClieND enables each client to maintain the neuron importance scores of the aggregated global model in each round by leveraging its local dataset. Through tracking the inter-round changes in these scores, each client detects abnormal behavior by identifying significant discrepancy spikes, which serve as indicators of potential poisoning attacks. To evaluate the effectiveness of ClieND, we compare it against three state-of-the-art baselines under both targeted and untargeted poisoning attacks, and also assess its ability to detect attacks at an early stage. Experimental results show that ClieND achieves a false positive rate (FPR) as low as 0.01 and a true positive rate (TPR) of up to 0.99, which significantly outperforms server-side defenses, demonstrating its high detection accuracy. Additionally, the existence of poisoning attacks, even those launched by adaptive settings, can be detected in an early stage within 5 communication rounds.","theoretical, modeling, or simulation study",Proceedings of the ACM Asia Conference on Computer and Communications Security,,10.1145/3779208.3785390,https://consensus.app/papers/cliend-clientside-neuronlevel-detection-against-ma-liu/cc2aa9d5945c5c068831a2963205c6f8/
DeFL: Defending against Model Poisoning Attacks in Federated Learning via Critical Learning Periods Awareness,"DeFL significantly improves federated learning performance by detecting malicious clients and identifying critical learning periods, outperforming conventional defenses.","Gang Yan, Hao Wang, Xu Yuan, Jian Li",2023,50,"Federated learning (FL) is known to be susceptible to model poisoning attacks in which malicious clients hamper the accuracy of the global model by sending manipulated model updates to the central server during the FL training process. Existing defenses mainly focus on Byzantine-robust FL aggregations, and largely ignore the impact of the underlying deep neural network (DNN) that is used to FL training. Inspired by recent findings on critical learning periods (CLP) in DNNs, where small gradient errors have irrecoverable impact on the final model accuracy, we propose a new defense, called a CLP-aware defense against poisoning of FL (DeFL). The key idea of DeFL is to measure fine-grained differences between DNN model updates via an easy-to-compute federated gradient norm vector (FGNV) metric. Using FGNV, DeFL simultaneously detects malicious clients and identifies CLP, which in turn is leveraged to guide the adaptive removal of detected malicious clients from aggregation. As a result, DeFL not only mitigates model poisoning attacks on the global model but also is robust to detection errors. Our extensive experiments on three benchmark datasets demonstrate that DeFL produces significant performance gain over conventional defenses against state-of-the-art model poisoning attacks.","theoretical, modeling, or simulation study",,,10.1609/aaai.v37i9.26271,https://consensus.app/papers/defl-defending-against-model-poisoning-attacks-in-yan-wang/a3ddf249b9235212bead134ee84adcc2/
Gradient purification: defense against data poisoning attack in decentralized federated learning,"Gradient purification defense (GPD) effectively mitigates data poisoning attacks in decentralized federated learning, retaining beneficial components and enhancing overall model accuracy.","Bin Li, Xiaoye Miao, Yan Zhang, Jianwei Yin",2025,3,"Decentralized federated learning (DFL) is inherently vulnerable to data poisoning attacks, as malicious clients can transmit manipulated gradients to neighboring clients. Existing defense methods either reject suspicious gradients per iteration or restart DFL aggregation after excluding all malicious clients. They all neglect the potential benefits that may exist within contributions from malicious clients. In this paper, we propose a novel gradient purification defense, termed GPD, to defend against data poisoning attacks in DFL. It aims to separately mitigate the harm in gradients and retain benefits embedded in model weights, thereby enhancing overall model accuracy. For each benign client in GPD, a recording variable is designed to track historically aggregated gradients from one of its neighbors. It allows benign clients to precisely detect malicious neighbors and mitigate all aggregated malicious gradients at once. Upon mitigation, benign clients optimize model weights using purified gradients. This optimization not only retains previously beneficial components from malicious clients but also exploits canonical contributions from benign clients. We analyze the convergence of GPD, as well as its ability to harvest high accuracy. Extensive experiments demonstrate that, GPD is capable of mitigating data poisoning attacks under both iid and non-iid data distributions. It also significantly outperforms state-of-the-art defense methods in terms of model accuracy.","theoretical, modeling, or simulation study",Frontiers of Computer Science,1,10.1007/s11704-025-50240-3,https://consensus.app/papers/gradient-purification-defense-against-data-poisoning-li-miao/b2744d574db65c19bbebbbc6ab431e1d/
FLARE: Defending Federated Learning Against Model Poisoning Attacks via Latent Space Representations,FLARE effectively defends federated learning against model poisoning attacks by analyzing penultimate layer representations and assigning trust scores to model updates.,"Fengqi Qian, B. Han, Q. Xiao, V. Gopalakrishnan",2022,116,"Federated learning (FL) has been shown vulnerable to a new class of adversarial attacks, known as model poisoning attacks (MPA), where one or more malicious clients try to poison the global model by sending carefully crafted local model updates to the central parameter server. Existing defenses that have been fixated on analyzing model parameters show limited effectiveness in detecting such malicious models. In this work, we propose FLARE, a robust model aggregation mechanism for FL, which is resilient against state-of-the-art MPAs. Instead of solely depending on model parameters, FLARE leverages the penultimate layer representations (PLRs) of the model for characterizing the adversarial influence on each local model update. We further propose a trust evaluation method that estimates a trust score for each model update based on pairwise PLR discrepancies among all model updates. Under the assumption of honest majority, FLARE assigns a low trust score to model updates that are far from the benign cluster. FLARE then aggregates the model updates weighted by their trust scores and finally updates the global model. Extensive experimental results demonstrate the effectiveness of FLARE in defending FL against various MPAs, including semantic backdoor attacks, trojan backdoor attacks, and untargeted attacks, in various FL systems.","theoretical, modeling, or simulation study",IEEE Transactions on Dependable and Secure Computing,1,10.1109/tdsc.2024.3521297,https://consensus.app/papers/flare-defending-federated-learning-against-model-qian-han/b8b3535d1ffc55e4acfe95cc72e603a3/
Sine: Similarity is Not Enough for Mitigating Local Model Poisoning Attacks in Federated Learning,"Sine attack framework in federated learning can increase model poisoning impact by 20-30%, but FLTC defense technique effectively restricts attack impact to 2–4%.","Harsh Kasyap, Somanath Tripathy",2024,34,"Federated learning is a collaborative machine learning paradigm that brings the model to the edge for training over the participants’ local data under the orchestration of a trusted server. Though this paradigm protects data privacy, the aggregator has no control over the local data or model at the edge. So, malicious participants could perturb their locally held data or model to post an insidious update, degrading global model accuracy. Recent Byzantine-robust aggregation rules could defend against data poisoning attacks. Also, model poisoning attacks have become more ingenious and adaptive to the existing defenses. But these attacks are crafted against specific aggregation rules. This work presents a generic model poisoning attack framework named Sine (Similarity is not enough), which harnesses vulnerabilities in cosine similarity to increase the impact of poisoning attacks by 20–30%. Sine makes convergence unachievable by maintaining the persistence of the attack. Further, we propose an effective defense technique called FLTC (FL Trusted Coordinates) to avoid such issues. FLTC selects the trusted coordinates and aggregates them based on the change in their direction and magnitude with respect to a trusted base model update. FLTC could successfully defend against poisoning attacks, including adaptive model poisoning attacks, by restricting the attack impact to 2–4%.","theoretical, modeling, or simulation study",IEEE Transactions on Dependable and Secure Computing,1,10.1109/tdsc.2024.3353317,https://consensus.app/papers/sine-similarity-is-not-enough-for-mitigating-local-model-kasyap-tripathy/67b6fe1e609c55fd8d98dcd75794d6ac/
ShieldFL: Mitigating Model Poisoning Attacks in Privacy-Preserving Federated Learning,"ShieldFL, a privacy-preserving defense strategy using two-trapdoor homomorphic encryption, effectively resists encrypted model poisoning in Privacy-Preserving Federated Learning without compromising privacy.","Zhuo Ma, Jianfeng Ma, Yinbin Miao, Yingjiu Li, R. Deng",2022,293,"Privacy-Preserving Federated Learning (PPFL) is an emerging secure distributed learning paradigm that aggregates user-trained local gradients into a federated model through a cryptographic protocol. Unfortunately, PPFL is vulnerable to model poisoning attacks launched by a Byzantine adversary, who crafts malicious local gradients to harm the accuracy of the federated model. To resist model poisoning attacks, existing defense strategies focus on identifying suspicious local gradients over plaintexts. However, the Byzantine adversary submits encrypted poisonous gradients to circumvent existing defense strategies in PPFL, resulting in encrypted model poisoning. To address the issue, in this paper we design a privacy-preserving defense strategy using two-trapdoor homomorphic encryption (referred to as ShieldFL), which can resist encrypted model poisoning without compromising privacy in PPFL. Specially, we first present the secure cosine similarity method aiming to measure the distance between two encrypted gradients. Then, we propose the Byzantine-tolerance aggregation using cosine similarity, which can achieve robustness for both Independently Identically Distribution (IID) and non-IID data. Extensive evaluations on three benchmark datasets (i.e., MNIST, KDDCup99, and Amazon) show that ShieldFL outperforms existing defense strategies. Especially, ShieldFL can achieve 30%-80% accuracy improvement to defend two state-of-the-art model poisoning attacks in both non-IID and IID settings.","theoretical, modeling, or simulation study",IEEE Transactions on Information Forensics and Security,1,10.1109/tifs.2022.3169918,https://consensus.app/papers/shieldfl-mitigating-model-poisoning-attacks-in-ma-ma/fac4ff388eb155c2a80f263be343f12d/
